type,name,size,i,time,verification
sorting,nativo,32768,20,0.007729,1
sorting,nativo,32768,21,0.007381,1
sorting,nativo,32768,22,0.007415,1
sorting,nativo,32768,23,0.007377,1
sorting,nativo,32768,24,0.007334,1
sorting,nativo,32768,25,0.007339,1
sorting,nativo,32768,26,0.007432,1
sorting,nativo,32768,27,0.007814,1
sorting,nativo,32768,28,0.007584,1
sorting,nativo,32768,29,0.007320,1
sorting,nativo,32768,30,0.004864,1
sorting,nativo,32768,31,0.004756,1
sorting,nativo,32768,32,0.004887,1
sorting,nativo,32768,33,0.004726,1
sorting,nativo,32768,34,0.004746,1
sorting,nativo,32768,35,0.004732,1
sorting,nativo,32768,36,0.005093,1
sorting,nativo,32768,37,0.004770,1
sorting,nativo,32768,38,0.004759,1
sorting,nativo,32768,39,0.004908,1
sorting,mergesort,1,0,0.000007,1
sorting,mergesort,1,1,0.000001,1
sorting,mergesort,1,2,0.000003,1
sorting,mergesort,1,3,0.000011,1
sorting,mergesort,1,4,0.000000,1
sorting,mergesort,1,5,0.000000,1
sorting,mergesort,1,6,0.000000,1
sorting,mergesort,1,7,0.000001,1
sorting,mergesort,1,8,0.000001,1
sorting,mergesort,1,9,0.000001,1
sorting,mergesort,1,10,0.000001,1
sorting,mergesort,1,11,0.000001,1
sorting,mergesort,1,12,0.000000,1
sorting,mergesort,1,13,0.000001,1
sorting,mergesort,1,14,0.000001,1
sorting,mergesort,1,15,0.000001,1
sorting,mergesort,1,16,0.000001,1
sorting,mergesort,1,17,0.000001,1
sorting,mergesort,1,18,0.000001,1
sorting,mergesort,1,19,0.000001,1
sorting,mergesort,1,20,0.000000,1
sorting,mergesort,1,21,0.000000,1
sorting,mergesort,1,22,0.000001,1
sorting,mergesort,1,23,0.000001,1
sorting,mergesort,1,24,0.000000,1
sorting,mergesort,1,25,0.000000,1
sorting,mergesort,1,26,0.000001,1
sorting,mergesort,1,27,0.000000,1
sorting,mergesort,1,28,0.000001,1
sorting,mergesort,1,29,0.000001,1
sorting,mergesort,1,30,0.000001,1
sorting,mergesort,1,31,0.000001,1
sorting,mergesort,1,32,0.000000,1
sorting,mergesort,1,33,0.000000,1
sorting,mergesort,1,34,0.000001,1
sorting,mergesort,1,35,0.000001,1
sorting,mergesort,1,36,0.000001,1
sorting,mergesort,1,37,0.000001,1
sorting,mergesort,1,38,0.000001,1
sorting,mergesort,1,39,0.000000,1
sorting,mergesort,2,0,0.000006,1
sorting,mergesort,2,1,0.000003,1
sorting,mergesort,2,2,0.000003,1
sorting,mergesort,2,3,0.000002,1
sorting,mergesort,2,4,0.000002,1
sorting,mergesort,2,5,0.000002,1
sorting,mergesort,2,6,0.000002,1
sorting,mergesort,2,7,0.000002,1
sorting,mergesort,2,8,0.000002,1
sorting,mergesort,2,9,0.000002,1
sorting,mergesort,2,10,0.000003,1
sorting,mergesort,2,11,0.000003,1
sorting,mergesort,2,12,0.000003,1
sorting,mergesort,2,13,0.000003,1
sorting,mergesort,2,14,0.000003,1
sorting,mergesort,2,15,0.000003,1
sorting,mergesort,2,16,0.000003,1
sorting,mergesort,2,17,0.000002,1
sorting,mergesort,2,18,0.000002,1
sorting,mergesort,2,19,0.000002,1
sorting,mergesort,2,20,0.000003,1
sorting,mergesort,2,21,0.000003,1
sorting,mergesort,2,22,0.000003,1
sorting,mergesort,2,23,0.000003,1
sorting,mergesort,2,24,0.000003,1
sorting,mergesort,2,25,0.000003,1
sorting,mergesort,2,26,0.000002,1
sorting,mergesort,2,27,0.000002,1
sorting,mergesort,2,28,0.000002,1
sorting,mergesort,2,29,0.000002,1
sorting,mergesort,2,30,0.000003,1
sorting,mergesort,2,31,0.000003,1
sorting,mergesort,2,32,0.000002,1
sorting,mergesort,2,33,0.000002,1
sorting,mergesort,2,34,0.000002,1
sorting,mergesort,2,35,0.000002,1
